condition_id,status,failure_cause,planned_replicates,completed_replicates,failed_replicates,failure_rate,spin_true,inclination_deg,eddington_ratio,f_col_true,f_col_fit,inner_stress_delta_eta,mean_bias,median_bias,rmse,mean_width_68,mean_width_95,coverage_68,coverage_95,mean_chi2_per_dof,mean_runtime_s,high_bias_flag,low_identifiability_flag,poor_fit_flag,needs_refinement
am0p500-i40p0-l0p060-fc1p70-de0p020,COMPLETED,,20,20,0,0.0,-0.5,40.0,0.06,1.7,1.7,0.02,0.1578773501513024,0.1576990751189148,0.15863809094493989,0.03869022094206756,0.07634367838329174,0.0,0.0,0.9927633326466513,0.010799800016684458,True,False,False,True
am0p500-i40p0-l0p060-fc1p90-de0p000,COMPLETED,,20,20,0,0.0,-0.5,40.0,0.06,1.9,1.7,0.0,0.28228761907195427,0.27859317513934484,0.28361728066578135,0.03998114605055067,0.07877948166552802,0.0,0.0,1.0162082527693523,0.011032380012329668,True,False,False,True
am0p500-i40p0-l0p060-fc1p90-de0p020,COMPLETED,,20,20,0,0.0,-0.5,40.0,0.06,1.9,1.7,0.02,0.43928297485837975,0.44064131198499434,0.43975763678921215,0.04165867988259071,0.08210600942780015,0.0,0.0,0.9749439022422978,0.010850905010011047,True,False,False,True
am0p500-i40p0-l0p180-fc1p70-de0p020,COMPLETED,,20,20,0,0.0,-0.5,40.0,0.18,1.7,1.7,0.02,0.15841182339212886,0.16550308124234303,0.15987655496262004,0.03870244458872456,0.07631583683861409,0.0,0.0,0.9791105220139691,0.010853424994274974,True,False,False,True
am0p500-i40p0-l0p180-fc1p90-de0p000,COMPLETED,,20,20,0,0.0,-0.5,40.0,0.18,1.9,1.7,0.0,0.2791638249340742,0.28060459901473755,0.27963866347035116,0.039947309695981245,0.07875246131344593,0.0,0.0,1.0793285966283404,0.010982709989184514,True,False,False,True
am0p500-i40p0-l0p180-fc1p90-de0p020,COMPLETED,,20,20,0,0.0,-0.5,40.0,0.18,1.9,1.7,0.02,0.4349773382109646,0.4293653970767878,0.43549123323272615,0.04166512407224665,0.08212055304444307,0.0,0.0,0.9692576887599744,0.01142384999548085,True,False,False,True
am0p500-i70p0-l0p060-fc1p70-de0p020,COMPLETED,,20,20,0,0.0,-0.5,70.0,0.06,1.7,1.7,0.02,0.16198473417315315,0.16199964731052285,0.162554104710884,0.038690528690183926,0.0763384223739954,0.0,0.0,0.9823522315186924,0.011094489984679967,True,False,False,True
am0p500-i70p0-l0p060-fc1p90-de0p000,COMPLETED,,20,20,0,0.0,-0.5,70.0,0.06,1.9,1.7,0.0,0.2782825153167569,0.27651068735534123,0.2783631820029771,0.03995906931524536,0.07874923755472822,0.0,0.0,0.9558283234240935,0.010883424989879131,True,False,False,True
am0p500-i70p0-l0p060-fc1p90-de0p020,COMPLETED,,20,20,0,0.0,-0.5,70.0,0.06,1.9,1.7,0.02,0.43770657393569945,0.43648397944378314,0.43814872435831836,0.0416561754437839,0.0821033829168312,0.0,0.0,1.025296760089569,0.010884799994528294,True,False,False,True
am0p500-i70p0-l0p180-fc1p70-de0p020,COMPLETED,,20,20,0,0.0,-0.5,70.0,0.18,1.7,1.7,0.02,0.16219311670097802,0.1614254386311704,0.16304651022029515,0.038722057598387614,0.07627294606989085,0.0,0.0,0.9410619881691872,0.010985875001642853,True,False,False,True
am0p500-i70p0-l0p180-fc1p90-de0p000,COMPLETED,,20,20,0,0.0,-0.5,70.0,0.18,1.9,1.7,0.0,0.2859354757689957,0.2913264283379736,0.2866485761165541,0.040007018751733084,0.07881835642116573,0.0,0.0,1.019599223963955,0.010848424985306337,True,False,False,True
am0p500-i70p0-l0p180-fc1p90-de0p020,COMPLETED,,20,20,0,0.0,-0.5,70.0,0.18,1.9,1.7,0.02,0.4342617887272954,0.4339614512846644,0.4346357526595442,0.0416578874053798,0.0821082191985052,0.0,0.0,0.9654721381537191,0.010883730032946914,True,False,False,True
ap0p000-i40p0-l0p060-fc1p70-de0p020,COMPLETED,,20,20,0,0.0,0.0,40.0,0.06,1.7,1.7,0.02,0.154742663384333,0.14879711963084669,0.15658703541931884,0.043958789449621484,0.0866461121302347,0.0,0.0,1.0714676819748397,0.01086230500950478,True,False,False,True
ap0p000-i40p0-l0p060-fc1p90-de0p000,COMPLETED,,20,20,0,0.0,0.0,40.0,0.06,1.9,1.7,0.0,0.28372258191408517,0.2824234033698636,0.2844207390155237,0.045232450041949104,0.08915895668112087,0.0,0.0,1.0114186514206707,0.0108267699892167,True,False,False,True
ap0p000-i40p0-l0p060-fc1p90-de0p020,COMPLETED,,20,20,0,0.0,0.0,40.0,0.06,1.9,1.7,0.02,0.4397725648503764,0.44325434101663586,0.44046784473601164,0.04693416210555237,0.09248139956101452,0.0,0.0,1.0981287800489268,0.01086816499591805,True,False,False,True
ap0p000-i40p0-l0p180-fc1p70-de0p020,COMPLETED,,20,20,0,0.0,0.0,40.0,0.18,1.7,1.7,0.02,0.16210198477066548,0.16372392230553423,0.1634071693191714,0.04396621657897738,0.0866619977304528,0.0,0.0,1.022461681831691,0.010867479996522888,True,False,False,True
ap0p000-i40p0-l0p180-fc1p90-de0p000,COMPLETED,,20,20,0,0.0,0.0,40.0,0.18,1.9,1.7,0.0,0.2866622707668399,0.28421693915665514,0.28731970680355856,0.0452210419946005,0.08916482414939306,0.0,0.0,0.9526787231996678,0.01090576999122277,True,False,False,True
ap0p000-i40p0-l0p180-fc1p90-de0p020,COMPLETED,,20,20,0,0.0,0.0,40.0,0.18,1.9,1.7,0.02,0.4326053740739786,0.43409211666197345,0.4330038631965467,0.04691694416283613,0.09247499798026662,0.0,0.0,0.951364632202735,0.01085227500880137,True,False,False,True
ap0p000-i70p0-l0p060-fc1p70-de0p020,COMPLETED,,20,20,0,0.0,0.0,70.0,0.06,1.7,1.7,0.02,0.16230799660006462,0.15736015421896393,0.1637574429636628,0.04399618875377898,0.08670098616126898,0.0,0.0,1.0267502196618639,0.010931189998518675,True,False,False,True
ap0p000-i70p0-l0p060-fc1p90-de0p000,COMPLETED,,20,20,0,0.0,0.0,70.0,0.06,1.9,1.7,0.0,0.2720281917438386,0.2726801519981132,0.27237662789146216,0.045261061999595245,0.08911035240229892,0.0,0.0,1.1094073709003403,0.010826844995608553,True,False,False,True
ap0p000-i70p0-l0p060-fc1p90-de0p020,COMPLETED,,20,20,0,0.0,0.0,70.0,0.06,1.9,1.7,0.02,0.44384124543659054,0.4439859853602345,0.44409310356487364,0.04693127470546658,0.09246404049944965,0.0,0.0,0.968890527860407,0.010863769985735416,True,False,False,True
ap0p000-i70p0-l0p180-fc1p70-de0p020,COMPLETED,,20,20,0,0.0,0.0,70.0,0.18,1.7,1.7,0.02,0.1561895532083338,0.1503731556398047,0.15858506317788082,0.04398350282755481,0.08667264381287294,0.0,0.0,0.9952503045393859,0.010943040013080463,True,False,False,True
ap0p000-i70p0-l0p180-fc1p90-de0p000,COMPLETED,,20,20,0,0.0,0.0,70.0,0.18,1.9,1.7,0.0,0.28889485463333764,0.2876397139005052,0.2897074906165998,0.04523945721553892,0.08916246350384811,0.0,0.0,0.9669842165053373,0.010881810012506321,True,False,False,True
ap0p000-i70p0-l0p180-fc1p90-de0p020,COMPLETED,,20,20,0,0.0,0.0,70.0,0.18,1.9,1.7,0.02,0.4422489816787243,0.4389719515795908,0.44294810078665264,0.04692030121418079,0.0924869452796126,0.0,0.0,1.0099127327480149,0.010872364998795092,True,False,False,True
ap0p500-i40p0-l0p060-fc1p70-de0p020,COMPLETED,,20,20,0,0.0,0.5,40.0,0.06,1.7,1.7,0.02,0.1617763544476431,0.16029880108005917,0.16326689640803982,0.049245931252722676,0.09702901079823856,0.0,0.0,0.9975557623854024,0.010960214986698701,True,False,False,True
ap0p500-i40p0-l0p060-fc1p90-de0p000,COMPLETED,,20,20,0,0.0,0.5,40.0,0.06,1.9,1.7,0.0,0.27055109929046667,0.2729585412127166,0.27167499303064996,0.05049255058045863,0.099516340467346,0.0,0.0,0.8328347698428221,0.01081698996713385,True,False,False,True
ap0p500-i40p0-l0p060-fc1p90-de0p020,COMPLETED,,20,20,0,0.0,0.5,40.0,0.06,1.9,1.7,0.02,0.44681267765443267,0.45023860971882296,0.44746907494761773,0.04664257513705914,0.08796754648451724,0.0,0.0,0.9907566983018231,0.010930325009394438,True,False,False,True
ap0p500-i40p0-l0p180-fc1p70-de0p020,COMPLETED,,20,20,0,0.0,0.5,40.0,0.18,1.7,1.7,0.02,0.1560578430675122,0.15056222413302384,0.15932388248396206,0.04921689783202031,0.09704807155023523,0.0,0.0,1.0044801481421155,0.010796505009057,True,False,False,True
ap0p500-i40p0-l0p180-fc1p90-de0p000,COMPLETED,,20,20,0,0.0,0.5,40.0,0.18,1.9,1.7,0.0,0.28334359492234384,0.28992439940378373,0.2841527015989342,0.050502949085864016,0.09953679209464789,0.0,0.0,0.94310252947253,0.010773414990399032,True,False,False,True
ap0p500-i40p0-l0p180-fc1p90-de0p020,COMPLETED,,20,20,0,0.0,0.5,40.0,0.18,1.9,1.7,0.02,0.43510247278940356,0.4396722333682308,0.4357283015536478,0.04998350234315606,0.09520763294314724,0.0,0.0,1.0419431574746099,0.010868679994018748,True,False,False,True
ap0p500-i70p0-l0p060-fc1p70-de0p020,COMPLETED,,20,20,0,0.0,0.5,70.0,0.06,1.7,1.7,0.02,0.17025360868140815,0.168969417818427,0.17155222180828564,0.049252000751918025,0.09703547611585395,0.0,0.0,1.0753290251017122,0.010796090011717751,True,False,False,True
ap0p500-i70p0-l0p060-fc1p90-de0p000,COMPLETED,,20,20,0,0.0,0.5,70.0,0.06,1.9,1.7,0.0,0.283510503292841,0.28604731143007206,0.284880774273552,0.05047596299783497,0.09947917674494115,0.0,0.0,0.9748276645180065,0.010788769990904256,True,False,False,True
ap0p500-i70p0-l0p060-fc1p90-de0p020,COMPLETED,,20,20,0,0.0,0.5,70.0,0.06,1.9,1.7,0.02,0.439349039292526,0.4415190078243953,0.4397836792361329,0.049942291717299477,0.09507653358183143,0.0,0.0,0.9061325339595669,0.010783824999816716,True,False,False,True
ap0p500-i70p0-l0p180-fc1p70-de0p020,COMPLETED,,20,20,0,0.0,0.5,70.0,0.18,1.7,1.7,0.02,0.16405248758310062,0.1614621591574737,0.16589143299082693,0.04922635044437948,0.09705335525436107,0.0,0.0,1.0335302531228483,0.010835519997635856,True,False,False,True
ap0p500-i70p0-l0p180-fc1p90-de0p000,COMPLETED,,20,20,0,0.0,0.5,70.0,0.18,1.9,1.7,0.0,0.2823869921332292,0.2843418014193464,0.2833172922577666,0.050500357437417966,0.09952852294205591,0.0,0.0,0.9108920571193035,0.01090606501675211,True,False,False,True
ap0p500-i70p0-l0p180-fc1p90-de0p020,COMPLETED,,20,20,0,0.0,0.5,70.0,0.18,1.9,1.7,0.02,0.43959609245292475,0.44679535960066036,0.4403945843663314,0.04847265657211726,0.09201238548950237,0.0,0.0,1.061257099800808,0.010821445001056418,True,False,False,True
ap0p900-i40p0-l0p060-fc1p70-de0p020,COMPLETED,,20,20,0,0.0,0.9,40.0,0.06,1.7,1.7,0.02,0.08994238397193481,0.0903207465933546,0.08997800431330684,0.016864236301427544,0.03418324938682294,0.0,0.0,1.1838375705255788,0.010859834996517747,True,False,False,True
ap0p900-i40p0-l0p060-fc1p90-de0p000,COMPLETED,,20,20,0,0.0,0.9,40.0,0.06,1.9,1.7,0.0,0.09595053402355062,0.09600659661504807,0.09595204285980319,0.00692616004274082,0.014974189744211507,0.0,0.0,2.5497130207435013,0.010865435015875845,True,False,True,True
ap0p900-i40p0-l0p060-fc1p90-de0p020,COMPLETED,,20,20,0,0.0,0.9,40.0,0.06,1.9,1.7,0.02,0.09730209030209955,0.09732750292824305,0.0973022259095584,0.003921021257112567,0.009414110286570233,0.0,0.0,5.612604001114552,0.010845175001304597,True,False,True,True
ap0p900-i40p0-l0p180-fc1p70-de0p020,COMPLETED,,20,20,0,0.0,0.9,40.0,0.18,1.7,1.7,0.02,0.09032925619685037,0.09128296561797089,0.09036363839735889,0.01623001945905194,0.033079470898958165,0.0,0.0,1.1535813475470267,0.010813430009875447,True,False,False,True
ap0p900-i40p0-l0p180-fc1p90-de0p000,COMPLETED,,20,20,0,0.0,0.9,40.0,0.18,1.9,1.7,0.0,0.09598267642376272,0.09623448519185873,0.09598439347100056,0.0068440097816552916,0.015008383723826324,0.0,0.0,2.6194468588925224,0.01081847000750713,True,False,True,True
ap0p900-i40p0-l0p180-fc1p90-de0p020,COMPLETED,,20,20,0,0.0,0.9,40.0,0.18,1.9,1.7,0.02,0.09730342129182819,0.09735818404874047,0.09730356830122593,0.003918058832801286,0.00940472895258333,0.0,0.0,5.6195177181482965,0.0109269050124567,True,False,True,True
ap0p900-i70p0-l0p060-fc1p70-de0p020,COMPLETED,,20,20,0,0.0,0.9,70.0,0.06,1.7,1.7,0.02,0.08973954696396572,0.09034955694079672,0.08978777920121461,0.017136966731338764,0.03463486626447222,0.0,0.0,1.195470375611134,0.01078476500697434,True,False,False,True
ap0p900-i70p0-l0p060-fc1p90-de0p000,COMPLETED,,20,20,0,0.0,0.9,70.0,0.06,1.9,1.7,0.0,0.0960415157201204,0.09616699440253706,0.09604245720423107,0.006801958855703605,0.014770323110578193,0.0,0.0,2.5061671045860456,0.010834644979331643,True,False,True,True
ap0p900-i70p0-l0p060-fc1p90-de0p020,COMPLETED,,20,20,0,0.0,0.9,70.0,0.06,1.9,1.7,0.02,0.09730645968911458,0.09734625171901579,0.09730653505259243,0.0038904876301953826,0.009373702256333443,0.0,0.0,5.588204652628556,0.010900245019001886,True,False,True,True
ap0p900-i70p0-l0p180-fc1p70-de0p020,COMPLETED,,20,20,0,0.0,0.9,70.0,0.18,1.7,1.7,0.02,0.09047065247281025,0.09092406598240277,0.09049705036272532,0.016066911402336126,0.03276624700457677,0.0,0.0,1.167391919901336,0.01088613502215594,True,False,False,True
ap0p900-i70p0-l0p180-fc1p90-de0p000,COMPLETED,,20,20,0,0.0,0.9,70.0,0.18,1.9,1.7,0.0,0.09586669276626665,0.09593457551127393,0.0958679300056992,0.007082352094119754,0.01536158238218735,0.0,0.0,2.3473274538618614,0.01086016501649283,True,False,True,True
ap0p900-i70p0-l0p180-fc1p90-de0p020,COMPLETED,,20,20,0,0.0,0.9,70.0,0.18,1.9,1.7,0.02,0.09732523085140873,0.0973113641122213,0.09732528794657501,0.0038542420248347587,0.009289304351949145,0.0,0.0,5.619269431253991,0.010793444991577417,True,False,True,True
