a_star,delta_eta,inclination_deg,energy_kev,bin_energy_flux
0.0,0.0,40.0,0.1116704136636853,1.0270415823632667e-06
0.0,0.0,40.0,0.13925614699132163,1.938770279107638e-06
0.0,0.0,40.0,0.17365633240395936,3.6344883417953322e-06
0.0,0.0,40.0,0.21655433124883,6.753345963232383e-06
0.0,0.0,40.0,0.2700493424768354,1.2407699620038726e-05
0.0,0.0,40.0,0.3367591262276594,2.2468520370851734e-05
0.0,0.0,40.0,0.41994810302989205,3.9934507724347815e-05
0.0,0.0,40.0,0.5236870971068577,6.927953101225776e-05
0.0,0.0,40.0,0.6530525407723684,0.00011645004757692905
0.0,0.0,40.0,0.8143748879156055,0.00018778913679701707
0.0,0.0,40.0,1.015548392604334,0.00028673008850244654
0.0,0.0,40.0,1.2664174117168074,0.000407319744654609
0.0,0.0,40.0,1.5792581351899757,0.0005260876251692131
0.0,0.0,40.0,1.969379317189484,0.000599758246599223
0.0,0.0,40.0,2.455871404776498,0.0005815448189643662
0.0,0.0,40.0,3.0625407224273116,0.0004584400770151081
0.0,0.0,40.0,3.819074426406774,0.0002784444516552592
0.0,0.0,40.0,4.762493235640691,0.0001222800092751812
0.0,0.0,40.0,5.938963027977272,3.5994881315860176e-05
0.0,0.0,40.0,7.406053951683143,6.479567247422908e-06
0.0,0.0,40.0,9.235557601024922,6.369846839598546e-07
0.0,0.0,40.0,11.517000113463189,2.9677811729308836e-08
0.0,0.0,40.0,14.362023100672461,5.477136152052898e-10
0.0,0.0,40.0,17.909846792753406,3.189307913475421e-12
0.0,0.02,40.0,0.1116704136636853,1.0453374813661195e-06
0.0,0.02,40.0,0.13925614699132163,1.9741800690575573e-06
0.0,0.02,40.0,0.17365633240395936,3.7029451771225166e-06
0.0,0.02,40.0,0.21655433124883,6.885466690629097e-06
0.0,0.02,40.0,0.2700493424768354,1.2662018144481663e-05
0.0,0.02,40.0,0.3367591262276594,2.295605727542044e-05
0.0,0.02,40.0,0.41994810302989205,4.086323423213772e-05
0.0,0.02,40.0,0.5236870971068577,7.103150995984028e-05
0.0,0.02,40.0,0.6530525407723684,0.0001197058804073328
0.0,0.02,40.0,0.8143748879156055,0.00019370301471131874
0.0,0.02,40.0,1.015548392604334,0.00029710782319907077
0.0,0.02,40.0,1.2664174117168074,0.0004246195062573962
0.0,0.02,40.0,1.5792581351899757,0.0005528455481637069
0.0,0.02,40.0,1.969379317189484,0.0006369646555991796
0.0,0.02,40.0,2.455871404776498,0.000626216848527542
0.0,0.02,40.0,3.0625407224273116,0.0005025448249604441
0.0,0.02,40.0,3.819074426406774,0.00031226685707447043
0.0,0.02,40.0,4.762493235640691,0.00014114675294137825
0.0,0.02,40.0,5.938963027977272,4.308665173771721e-05
0.0,0.02,40.0,7.406053951683143,8.118776217732174e-06
0.0,0.02,40.0,9.235557601024922,8.452064254684897e-07
0.0,0.02,40.0,11.517000113463189,4.2306492128260594e-08
0.0,0.02,40.0,14.362023100672461,8.538594557147189e-10
0.0,0.02,40.0,17.909846792753406,5.557826755124443e-12
0.9,0.0,40.0,0.1116704136636853,1.1038212624513906e-06
0.9,0.0,40.0,0.13925614699132163,2.08737697618782e-06
0.9,0.0,40.0,0.17365633240395936,3.921812705342352e-06
0.9,0.0,40.0,0.21655433124883,7.30796738617683e-06
0.9,0.0,40.0,0.2700493424768354,1.3475575973557355e-05
0.9,0.0,40.0,0.3367591262276594,2.451658061705849e-05
0.9,0.0,40.0,0.41994810302989205,4.3838717263014055e-05
0.9,0.0,40.0,0.5236870971068577,7.66529241821426e-05
0.9,0.0,40.0,0.6530525407723684,0.00013017704204214018
0.9,0.0,40.0,0.8143748879156055,0.0002127918611259243
0.9,0.0,40.0,1.015548392604334,0.00033079103999913105
0.9,0.0,40.0,1.2664174117168074,0.0004812374758257363
0.9,0.0,40.0,1.5792581351899757,0.0006414893023470956
0.9,0.0,40.0,1.969379317189484,0.0007623798714175706
0.9,0.0,40.0,2.455871404776498,0.0007804599749936431
0.9,0.0,40.0,3.0625407224273116,0.000659829810400909
0.9,0.0,40.0,3.819074426406774,0.0004381027814952947
0.9,0.0,40.0,4.762493235640691,0.0002152821073610874
0.9,0.0,40.0,5.938963027977272,7.297213685011724e-05
0.9,0.0,40.0,7.406053951683143,1.5673110979690197e-05
0.9,0.0,40.0,9.235557601024922,1.9213850297864482e-06
0.9,0.0,40.0,11.517000113463189,1.1792974144610126e-07
0.9,0.0,40.0,14.362023100672461,3.0690298104277126e-09
0.9,0.0,40.0,17.909846792753406,2.7417005585483996e-11
0.9,0.02,40.0,0.1116704136636853,1.1062387770156873e-06
0.9,0.02,40.0,0.13925614699132163,2.0920568099292e-06
0.9,0.02,40.0,0.17365633240395936,3.930863076552731e-06
0.9,0.02,40.0,0.21655433124883,7.325443375862485e-06
0.9,0.02,40.0,0.2700493424768354,1.3509242013684884e-05
0.9,0.02,40.0,0.3367591262276594,2.4581198577461285e-05
0.9,0.02,40.0,0.41994810302989205,4.3962043535424354e-05
0.9,0.02,40.0,0.5236870971068577,7.68862503515217e-05
0.9,0.02,40.0,0.6530525407723684,0.00013061259362270067
0.9,0.02,40.0,0.8143748879156055,0.00021358840273734956
0.9,0.02,40.0,1.015548392604334,0.0003322032421701868
0.9,0.02,40.0,1.2664174117168074,0.00048362777821339014
0.9,0.02,40.0,1.5792581351899757,0.0006452693194847956
0.9,0.02,40.0,1.969379317189484,0.000767803770990224
0.9,0.02,40.0,2.455871404776498,0.0007872601236616955
0.9,0.02,40.0,3.0625407224273116,0.0006669426766265705
0.9,0.02,40.0,3.819074426406774,0.00044398234812043796
0.9,0.02,40.0,4.762493235640691,0.00021889094713657667
0.9,0.02,40.0,5.938963027977272,7.450254983990501e-05
0.9,0.02,40.0,7.406053951683143,1.6084722326013182e-05
0.9,0.02,40.0,9.235557601024922,1.984613918673815e-06
0.9,0.02,40.0,11.517000113463189,1.227955862699903e-07
0.9,0.02,40.0,14.362023100672461,3.2279026094187123e-09
0.9,0.02,40.0,17.909846792753406,2.919908099347648e-11
